pic_code,bank_code,bank_names,bank_short_name,bic_code,status,id
_0014,_14,Oriental,ORINT,ORIN,1,1227
0001,01,Kenya Commercial Bank,KCB,KCBOKENAXXX,1,1201
0002,02,Stanchat Bank Kenya,STAN,STAOKENAXXX,1,1202
0003,03,Absa Bank,Absa,BBKOKENAXXX,1,1203
0004,04,0004,0004,0005,1,4
0005,05,0005,0005,0005,1,5
0006,06,0006,0006,0006,1,6
0007,07,Comercial Bank Of Africa,CBA,CBAOKENAXXX,1,1204
0008,08,NULL,BK,,1,1205
0009,09,Central Bank Of Kenya,CBK,CBAOKENAXXX,1,1206
0010,10,Prime Bank,PME,PRIEKENAXXX,1,1207
0011,11,"Cooperative Bank ",COOP,KCOOKENAXXX,1,1208
0012,12,"National Bank ",NBK,NBKOKENAXXX,1,1209
0013,13,"0013 ",0013,0013,1,13
0015,15,0015,0015,0015,1,15
0016,16,0016,0016,0016,1,16
0017,17,0017,0017,0017,1,17
0018,18,Middle East,MED,MEDOKENAXXX,1,1210
0019,19,Bank Of Africa,BOA,BOAOKENAXXX,1,1211
0020,20,0020,0020,0020,1,20
0021,21,0021,0021,0021,1,21
0022,22,0022,0022,0022,1,22
0023,23,Consolidated,CONS,CONSKENAXXX,1,1212
0024,24,0024,0024,0024,1,24
0025,25,Credit Bank,CRED,CREDKENAXXX,1,1213
0026,26,0026,0026,0026,1,26
0027,27,0027,0027,0027,1,27
0028,28,0028,0028,0028,1,28
0029,29,0029,0029,0029,1,29
0030,30,0030,0030,0030,1,30
0031,31,StanBic,STAN,STANBKENAXX,1,1214
0032,32,0032,0032,0032,1,32
0033,33,0033,0033,0033,1,33
0034,34,0034,0034,0034,1,34
0035,35,ABC,ABC,ABCLBKENAXX,1,1215
0036,36,0036,0036,0036,1,36
0037,37,0037,0037,0037,1,37
0038,38,0038,0038,0038,1,38
0039,39,0039,0039,0039,1,39
0040,40,0040,0040,0040,1,40
0041,41,NIC,NIC,NICLBKENAXX,1,1216
0042,42,0042,0042,0042,1,42
0043,43,0043,0043,0043,1,43
0044,44,0044,0044,0044,1,44
0045,45,0045,0045,0045,1,45
0046,46,0046,0046,0046,1,46
0047,47,0047,0047,0047,1,47
0048,48,0048,0048,0048,1,48
0049,49,0049,0049,0049,1,49
0050,50,PAU,PAU,PAUTKENAXXX,1,1217
0051,50,Jamii,JAMI,JAMIBENAXXX,1,1218
0052,52,0052,0052,0052,1,52
0053,53,GTB,GTB,GTBIKENAXXX,1,1219
0054,54,VICTKENAXXX,VICT,VICTKENAXXX,1,1222
0055,55,Guadian  Bank,GUAR,GUARKENAXXX,1,1220
0056,56,0056,0056,0056,1,56
0057,57,I and M,IMB,IMBLKENAXXX,1,1221
0058,58,0058,0058,0058,1,58
0059,59,0059,0059,0059,1,59
0060,60,0060,0060,0060,1,60
0061,61,0061,0061,0061,1,61
0062,62,0062,0062,0062,1,62
0063,63,DTB,DTB,DTBTKENAXXX,1,1224
0064,64,0064,0064,0064,1,64
0065,65,DTB,DTB,DTBTKENAXXX,1,1225
0066,66,0066,0066,0066,1,66
0067,67,0067,0067,0067,1,67
0068,68,Equity Bank Kenya,EQT,EBLKENA,1,1101
0069,69,0069,0069,0069,1,69
0070,70,0070,0070,0070,1,70
0071,71,0071,0071,0071,1,71
0072,72,0072,0072,0072,1,72
0073,73,0073,0073,0073,1,73
0074,74,0074,0074,0074,1,74
0075,75,0075,0075,0075,1,75
0076,76,0076,0076,0076,1,76
0077,77,0077,0077,0077,1,77
0078,78,KWMIKENXXXX,KWM,KWMIKENXXXX,1,1226
0079,79,0079,0079,0079,1,79
0080,80,0080,0080,0080,1,80
0081,81,0081,0081,0081,1,81
0082,82,0082,0082,0082,1,82
0083,83,0083,0083,0083,1,83
0084,84,0084,0084,0084,1,84
0085,85,0085,0085,0085,1,85
0086,86,0086,0086,0086,1,86
0087,87,0087,0087,0087,1,1207
0088,88,0088,0088,0088,1,1208
0089,89,0089,0089,0089,1,89
0090,90,0090,0090,0090,1,90
0091,91,GTB,GTB,GTB,1,1676
0092,92,Dummy Bank,DB,DB,1,1674
0093,93,0093,0093,0093,1,1676
0094,94,0094,0094,0094,1,94
0095,95,0095,0095,0095,1,95
0096,96,0096,0096,0096,1,96
0097,97,Dummy Bank 1,DB1,DB2,1,1675
0098,98,0098,0098,0098,1,98
0099,99,0099,0099,0099,1,99
0168,168,EQUITY IMT,EQT,EBLKENA,1,168
1001,1001,KCB P2M,1001,1001,1,100605
1011,1011,Coop P2M,1011,1011,1,100602
1024,1024,Pesawise P2M,1024,1024,1,100604
1057,1057,I&M P2M,1057,1057,1,100603
1068,1068,Equity P2M,1068,1068,1,100601
1097,1097,1097,1097,1097,1,1097
2053,2053,DPO Group,2053,2053,1,106651
2060,2060,SBM P2M,2060,2060,1,100606
